ID,tweet,sentiment4,product_review_3
7991,Apple to sell iPads in &quot;pop-up&quot; Apple store at #SXSW {link},No emotion toward brand or product,Not Product Review
328,"For those at #SXSW: Apple sets up 5,000-square-foot temporary store at SXSW to sell new iPads, test potential traffic {link}",No emotion toward brand or product,Not Product Review
7321,#Apple Pop-Up Store Selling #iPad2 At #SXSW {link} via @mention #Tech #Retail,No emotion toward brand or product,Not Product Review
5212,RT @mention #Apple Pop-Up Store Selling #iPad2 At #SXSW {link} via @mention #Tech #Retail,No emotion toward brand or product,Not Product Review
1415,#brandnew: #Google tries the social network again. This time it's #Circles to be launched @mention #SXSW. Perhaps wha��_ (cont) {link},No emotion toward brand or product,Not Product Review
4245,It was only a matter of time -Googleto launch a social network May called Google Circles? {link} via @mention #sxsw,No emotion toward brand or product,Not Product Review
3707,Afraid being at #SXSW would make you miss out on buying the new iPad? No worries - Apple is opening a pop up shop there {link},No emotion toward brand or product,Not Product Review
2502,#JustMet David from Beyond. We both had stories of guys making drunken ipad purchases at the Apple pop up store. #SXSW #whattechnerdsdodrunk,No emotion toward brand or product,Not Product Review
80,"Launching @mention #SxSW? RT @mention @mention Denies Social Network Called Circles Will Debut Today, Despite Report {link}",No emotion toward brand or product,Not Product Review
364,"Texas has been amazing I've met so many influential people that work at twitter, foursquare, Microsoft and even Apple.  #SXSW #Winning",Positive emotion,Not Product Review
2328,RT NicoRiccelli: Google to Launch Major New Social Network Called Circles. {link}  #sxsw // Google denies this.,No emotion toward brand or product,Not Product Review
3637,"@mention If you're looking for a space to #escape at #sxsw, why don't you stop by Arthaus! {link}",No emotion toward brand or product,Not Product Review
1416,Nice Move: Apple set to open popup shop in core of #SXSW action {link},Positive emotion,Product Review
2620,"If you are at #SXSW stop by the Austin Details Gallery to check out some #iPad art
{link} #Art",No emotion toward brand or product,Not Product Review
3781,"FYI @mention is working on an iPhone app, looking to release it this summer, hopefully. #SXSW #flipboard",Positive emotion,Product Review
8652,"?? from audience asks @mention what her favorite non-Google product is &amp; why - she says, I really love my Swiss Omega watch #SXSW",No emotion toward brand or product,Not Product Review
3777,hey @mention heard you're at #sxsw. Come by to the @mention grille and make your comic into a iPhone case? What do you say? :],No emotion toward brand or product,Not Product Review
3886,#notsurprised lots of Geosocial news today w/ #sxsw beginning - Google fires a shot at Foursquare with check in rewards {link},No emotion toward brand or product,Not Product Review
8386,"#SXSW: Potential Breakout Gadgets, Apps &amp; #Apple #iPad2 Pop-Up Store. Festival begins tomorrow: {link}",No emotion toward brand or product,Not Product Review
3129,"Reports of @mention introducing a new social media platform at #SXSW were premature, but hopefully not overly optimistic {link}",No emotion toward brand or product,Not Product Review
3563,@mention I saw that yesterday! Hoping that it won't b too crowded ;) #apple #ipad2 #sxsw,No emotion toward brand or product,Not Product Review
1954,#sxsw #health2dev Zeiger &quot;Health is moving so much slower than we could be.&quot; #Google,No emotion toward brand or product,Not Product Review
4815,My ipad envy couldn't be any greater. Waaaaaa. #sxsw,Positive emotion,Product Review
2122,@mention at #cnngrill #sxsw rockin the #iphone couldn't be cooler {link},Positive emotion,Product Review
9001,Dropped my MacBook pro as I was walking into #sxsw. iPad 2 sounding pretty appealing right now. Somehow I will adapt and overcome.,Positive emotion,Not Product Review
8928,"@mention wow - a gold's gym underneath an Apple store. Kind of you in a nutshell, right? #SXSW",No emotion toward brand or product,Not Product Review
5159,"RT @mention @mention wow - a gold's gym underneath an Apple store. Kind of you in a nutshell, right? #SXSW",No emotion toward brand or product,Not Product Review
7375,Wow. My iPhone just dropped off the side of the Iron Cactus balcony AND THE SCREEN DIDN'T SHATTER! Amazing. #SXSW #fb,Positive emotion,Product Review
8930,Clearly #wp7dev won the mobile smackdown v iPhone and Android at Iron Dev #sxsw. Kudos @mention,Positive emotion,Not Product Review
5622,RT @mention Clearly #wp7dev won the mobile smackdown v iPhone and Android at Iron Dev #sxsw. Kudos @mention,Positive emotion,Not Product Review
7708,I'm concerned about #Adobe; #Mint migrating #Flex to #HTML5 for #iOS and #Android mobile apps. #sxsw,Negative emotion,Not Product Review
3430,@mention Have they provided any stats on Tablets? Or by specific platform (iPhone vs. Android)? #sxsw #cnngrill,No emotion toward brand or product,Not Product Review
1908,Best schwag I've seen at #SXSW is the @mention battery charger for your iPhone. How do I get one?!?!,Positive emotion,Not Product Review
1536,@mention {link} you get the #sxsw app yet? Android version has the schedule.,No emotion toward brand or product,Not Product Review
995,At google party. Best ever! Get your butt over here. #sxsw,Positive emotion,Not Product Review
76,Holla! RT @mention At google party. Best ever! Get your butt over here. #sxsw,Positive emotion,Not Product Review
6028,RT @mention Holla! RT @mention At google party. Best ever! Get your butt over here. #sxsw,Positive emotion,Not Product Review
2605,"Add google alerts to your project, and amazing things happen...#sxsw",Positive emotion,Product Review
4998,Really cool shit #google is working on. #Google web fonts look hawt. #sxsw @mention,Positive emotion,Product Review
3105,"If 2.68 devices is not enough for you, go to Apple pop-up store at #sxsw for a new iPad2. {link}",No emotion toward brand or product,Not Product Review
1721,@mention #sxsw is going to be alot better when u have iPad 5 to carry around ;),Positive emotion,Not Product Review
8609,Design Patterns For User Engagement at SXSW. I'm interested to hear what google has to say on the subject... #SXSW #makinggamesbetter,Positive emotion,Product Review
8086,"What's most important is simplicity, fast, easy to use &amp; readability when designing products at #Google says @mention #SXSW",No emotion toward brand or product,Not Product Review
8927,#YourMom would prob have more to say about designing ipad apps than u do. #sxsw,No emotion toward brand or product,Not Product Review
7607,Buttons are a hack around direct interaction. Use the medium. #tapworthy #iPad #sxsw,No emotion toward brand or product,Not Product Review
6140,Toddlers on iPad *get* direct interaction of content. Don't get trapped in metaphors &amp; hacks. @mention #tapworthy #sxsw,No emotion toward brand or product,Not Product Review
1305,"Clearly I wasn't back on twitter during TIFF I don't think (not on my iPhone) this #SXSW is bigger than Sundance even, #Filmfestepic",No emotion toward brand or product,Not Product Review
4225,I expect lots of buzz about iPad 2 at #sxsw since it comes out tomorrow. But will it support Flash? Maybe so: {link} #elonsxsw,No emotion toward brand or product,Not Product Review
4680,"Also, thanks to Apple for releasing iOS 4.3 just in time for #SXSW. Installed it just before leaving home!",Positive emotion,Product Review
3868,#Discovr is now available on iPhone. Thanks #SXSW!,Positive emotion,Not Product Review
3369,&lt;---- Guess who won an iPad at the #unsix tweetup? Thanks to @mention &amp; @mention #sxsw #happydance,Positive emotion,Not Product Review
7763,#BooYah! RT @mention &lt;---- Guess who won an iPad at the #unsix tweetup? Thanks to @mention &amp; @mention #sxsw #happydance,Positive emotion,Not Product Review
1600,Hijacked @mention iPhone since mine is DOA. Muahahahahhaahahaa. #SXSW partay time. Thx @mention for dinner,Positive emotion,Not Product Review
689,I won the iPad accessories bag! Thanks @mention #SXSW,Positive emotion,Not Product Review
1978,Just won an iPad 2 at #sxsw thanks to @mention #fxsw,Positive emotion,Not Product Review
6227,RT @mention Just won an iPad 2 at #sxsw thanks to @mention #fxsw,Positive emotion,Not Product Review
8637,#SXSW party time with @mention and @mention thanks @mention,Positive emotion,Not Product Review
1541,@mention @mention {link} #SXSW Thanks for signing my ipad!,Positive emotion,Not Product Review
9031,@mention yay :) thank you! what do you do? #pushio #sxsw #ipad,Positive emotion,Not Product Review
8752,"Google dev at the panel indicates that Android now has a Screen Reader that works with widgets, native ui, web views and the browser #SXSW",No emotion toward brand or product,Not Product Review
3554,"@mention I just mean the percentage of iOS vs Android vs Blackberry, etc. #SXSW / @mention",No emotion toward brand or product,Not Product Review
2797,Nice to hear that mint.com is working on an iPad app! #FTW #SXSWi #SXSW,Positive emotion,Not Product Review
4649,@mention nice work on organizing the apple pop-up store - but wish you were here in #austin for #sxsw!,Positive emotion,Product Review
2432,Extra iPad 2 for sale in Austin convention center who wants one? {link},No emotion toward brand or product,Not Product Review
1716,"All this #sxsw gadget lust is rubbing off on me, I think I want an iPad 2... must escape soon!",Positive emotion,Not Product Review
550,"I want to go to the Apple pop-up store, but I'm afraid I'll leave with a new iPad. #SXSW",Positive emotion,Not Product Review
4440,Wanting in line at the unconfirmed Apple pop-up store for an iPad 2. #sxsw,No emotion toward brand or product,Not Product Review
763,"Google to Launch Major New Social Network Called Circles, {link} #sxsw - Brazil's orkut users have been waiting.",No emotion toward brand or product,Not Product Review
5871,"RT @mention Google to Launch Major New Social Network Called Circles, {link} #sxsw - Brazil's orkut users have been waiting.",No emotion toward brand or product,Not Product Review
8211,Can't wait anymore!!! :)) &quot;Google to Launch Major New Social Network Called Circles&quot; (via @mention {link} #google #circles #sxsw,Positive emotion,Product Review
5598,RT @mention Can't wait anymore!!! :)) &quot;Google to Launch Major New Social Network Called Circles&quot; (via @mention {link} #google #circles #sxsw,Positive emotion,Product Review
8691,Apple popup store line still circles the block. #sxsw,No emotion toward brand or product,Not Product Review
3288,This #Google Circles has everyone going around in Circles! {link} #SXSW,No emotion toward brand or product,Not Product Review
7590,"Google Circles, if as described another good move as a product but too late?{link} #sxsw (via @mention",Negative emotion,Product Review
4683,I'm the only one at #sxsw without any apple products,No emotion toward brand or product,Not Product Review
4052,Why is all the prizes at #SXSW apple products? Sigh,Negative emotion,Not Product Review
3906,@mention It sounds like you were hired by Apple to pitch their products at #SXSW,No emotion toward brand or product,Not Product Review
1922,biggest takeaway from #UXDes thus far -- bring physical world into your iPad design &amp; recreate already learned experiences. #sxsw,No emotion toward brand or product,Not Product Review
5575,RT @mention biggest takeaway from #UXDes thus far -- bring physical world into your iPad design &amp; recreate already learned experiences. #sxsw,No emotion toward brand or product,Not Product Review
4743,Ten percent of the crowd at &quot;Designing iPad Interfaces&quot; already have the ipad2. #SXSW,No emotion toward brand or product,Not Product Review
989,Confusion over Google Circles. Google claim Circles is not being released at #sxsw and is not even in development. {link},No emotion toward brand or product,Not Product Review
5641,RT @mention Confusion over Google Circles. Google claim Circles is not being released at #sxsw and is not even in development. {link},No emotion toward brand or product,Not Product Review
3335,@mention google didn't deny that they are working on such a project. They just didn't release it at #SXSW,No emotion toward brand or product,Not Product Review
7223,But are your phones staying charged? My crappy #iPhone would never handle #SXSW! RT @mention @mention @mention no sleep crazyfest!!!!!!,Negative emotion,Product Review
1869,"Yikes, reached a new level of Apple-fanboyism last night: literally fell asleep with a MacBook Pro, iPad 2, &amp; iPhone 4 on top of me. #SXSW",Positive emotion,Not Product Review
7377,Verizon iPhones Fell Back an Hour Instead of Springing Ahead {link} #sxsw #tech,No emotion toward brand or product,Not Product Review
628,#technews How To ���Win�۝ SXSW: Hint ��� It�۪s The Same Answer Every Year {link} #Tech_News #Bill_Murray #How_To #iPhone #SXSW #tech,No emotion toward brand or product,Not Product Review
1796,Download 20+ free tracks from the @mention Music Sampler on @mention including @mention {link} #SXSW,No emotion toward brand or product,Not Product Review
1798,Download 20+ free tracks from the #SXSW Music Sampler on @mention including @mention {link},No emotion toward brand or product,Not Product Review
5689,RT @mention Download 20+ free tracks from the @mention Music Sampler on @mention including @mention {link} #SXSW,No emotion toward brand or product,Not Product Review
1797,Download 20+ free tracks from the @mention Music Sampler on @mention including #glove! {link} #SXSW,No emotion toward brand or product,Not Product Review
6527,RT @mention RT @mention Download 20+ free tracks from @mention Music Sampler @mention including @glove! {link} #SXSW,No emotion toward brand or product,Not Product Review
8829,Free #SXSW music sampler on #itunes. Includes @mention Barton Hollow. (opens itunes) {link},No emotion toward brand or product,Not Product Review
7328,Google Impact to be available in &quot;the next months&quot;. Sign up at bavc.org/impact #swesxsw #SXSW #yam #bavcid,No emotion toward brand or product,Not Product Review
4369,"#bavcID Impact Dashboard code will be available at &quot;Google Code, Github, or other popular sites&quot; #sxsw",No emotion toward brand or product,Not Product Review
1273,Attending TV + New Media = Formula for Success at #sxsw. Seeing a lot of iPad 2's around here.,No emotion toward brand or product,Not Product Review
8750,"Hey, #usguys at #sxsw, let us know what you think of the new Google Circles social media platform :) #usxsw",No emotion toward brand or product,Not Product Review
5023,@mention omg. Only the best conference of all time ever. Google it. #sxsw #4sqchat,Positive emotion,Product Review
3730,I'm sporting the new @mention 3 for iOS/iPhone - get it &amp; install it just in time for what ever it is your doing. #4sq #SXSW,No emotion toward brand or product,Not Product Review
633,"Only time I ever torrent (also this is legal). Also, also, so excited #sxsw  {link}",Positive emotion,Not Product Review
1292,"Argh, the UX meet up is at the exact same time as the iPhone dev meetup. Where is my clone? #sxsw",Negative emotion,Product Review
3450,Just in the nick of time! Get your #iphone #eventseekr app for #SXSW!! {link},Positive emotion,Not Product Review
3678,Standing in line. For the 6th time. #ipad2 #apple #sxsw #popupstore,No emotion toward brand or product,Not Product Review
1632,Woohoo! ���@mention Standing in line. For the 6th time. #ipad2 #apple #sxsw #popupstore�۝,No emotion toward brand or product,Not Product Review
3668,"Just in time for #SXSW, @mention has it's own NFC enabled google places door sticker!  {link}",No emotion toward brand or product,Not Product Review
6210,"RT @mention Just in time for #SXSW, @mention has it's own NFC enabled google places door sticker!  {link}",No emotion toward brand or product,Not Product Review
6803,RT @mention Time to #wakeuplaughing @mention for #iPhone is on the #AppStore! iTun.es/iFR3Dw #sxsw,No emotion toward brand or product,Not Product Review
8475,@mention this time next week Google party at #SXSW!,No emotion toward brand or product,Not Product Review
8914,Time to switch to @mention on my iPhone so I can ZIP all the #sxsw chatter.,No emotion toward brand or product,Not Product Review
2038,"At #sxsw apple has 99% marketshare, not seeing much linux.",No emotion toward brand or product,Not Product Review
5500,"RT @mention At #sxsw apple has 99% marketshare, not seeing much linux.",No emotion toward brand or product,Not Product Review
4873,"Excited to see this! RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxsw",Positive emotion,Product Review
5709,"RT @mention Excited to see this! RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxsw",Positive emotion,Product Review
3434,Mike (TechDirt) &amp; Bill (google) have refused to sit at the panel because it's &quot;too hierarchical.&quot; I can't see. #copyright #SXSW,No emotion toward brand or product,Not Product Review
3599,It is ridiculous to see someone taking a photo during a session with their iPad. Cannot wait to see concert use. #SXSW #Silly,Negative emotion,Not Product Review
6170,RT @mention It is ridiculous to see someone taking a photo during a session with their iPad. Cannot wait to see concert use. #SXSW #Silly,Negative emotion,Not Product Review
2591,Off to see @mention in &quot;Left Brain Search = Google. Right Brain Search = X&quot; panel at #SXSW #BetterSearch,No emotion toward brand or product,Not Product Review
1375,Apple pop-up at #SXSW!? Ordinance on the front line! (Admission is the first step to recovery) {link},No emotion toward brand or product,Not Product Review
8656,"Npr fan built first iPhone app, not affiliated with npr he was firefighter and coder #sxsw",No emotion toward brand or product,Not Product Review
3847,C9: The First Cut {link} [codes valid: 8:00-11:59:59a 03/12/11] #infektd #sxsw #cvdc,No emotion toward brand or product,Not Product Review
589,"Diller on Google TV: &quot;The first product wasn't good. It wasn't a consumer product, basically.&quot; #sxsw #diller",Negative emotion,Product Review
5678,"RT @mention Diller on Google TV: &quot;The first product wasn't good. It wasn't a consumer product, basically.&quot; #sxsw #diller",Negative emotion,Product Review
3154,Kicking off iPad design headaches with Josh Clark (@mention Very crowded room for first session - standing room only #sxsw,No emotion toward brand or product,Not Product Review
972,#Apple to open pop up store at #SXSW in time for #ipad2 sales {link},No emotion toward brand or product,Not Product Review
5217,RT @mention #Apple to open pop up store at #SXSW in time for #ipad2 sales {link},No emotion toward brand or product,Not Product Review
2767,"Cover time! #sxsw (@mention Apple Store, SXSW w/ 9 others) {link}",No emotion toward brand or product,Not Product Review
6619,RT @mention RT @mention We are giving away an iPad 2 to kick off our time down at #sxsw. Just visit our FB page for more info: {link},No emotion toward brand or product,Not Product Review
6878,RT @mention We are giving away an iPad 2 to kick off our time down at #sxsw. Just visit our FB page for more info: {link},No emotion toward brand or product,Not Product Review
8792,We are giving away an iPad 2 to kick off our time down at #sxsw. Just visit our FB page for more info: {link},No emotion toward brand or product,Not Product Review
8155,Helpful #sxsw hint : charge your iPhone with your iPad charger to charge in 3/4 the time,No emotion toward brand or product,Not Product Review
1097,iPad 2 is sold-out and 70% were 1st time users #sxsw,No emotion toward brand or product,Not Product Review
6146,RT @mention iPad 2 is sold-out and 70% were 1st time users #sxsw,No emotion toward brand or product,Not Product Review
7471,"Ze Frank project: walk down Google streetview down a street u've walked many times b4, and revelations pop up. #sxsw",No emotion toward brand or product,Not Product Review
8521,Mom (@mention quick - apply for a job @mention they need help identifying this bird through search!  #SXSW  {link},No emotion toward brand or product,Not Product Review
4848,One way to go about the job search at #SXSW - &quot;are you guys hiring&quot; - man in audience to Google's @mention during Q&amp;A,No emotion toward brand or product,Not Product Review
8427,What are the chances that @mention will NOT buy an iPad 2 at #sxsw (unless he already got one on the way)?,No emotion toward brand or product,Not Product Review
3548,@mention I got that about impression #sxsw too. I plan to stand in a line for an iPad 2 on March 25th though :),No emotion toward brand or product,Not Product Review
3498,"Cue the choir music #SXSW  @mention Apple Store, SXSW {link}",No emotion toward brand or product,Not Product Review
2737,Front Gate Tickets Present The Morning After Party 3/18 https://sites.google.com/site/frontgatesxsw11/ #SXSW Music,No emotion toward brand or product,Not Product Review
5754,RT @mention Front Gate Tickets Present The Morning After Party 3/18 https://sites.google.com/site/frontgatesxsw11/ #SXSW Music,No emotion toward brand or product,Not Product Review
3255,"Don't forget, #sxsw is about the music! {link}",No emotion toward brand or product,Not Product Review
6683,RT @mention SPIN Play - a new concept in music discovery for your iPad from @mention &amp; spin.com {link} #iTunes #sxsw @mention,No emotion toward brand or product,Not Product Review
38,SPIN Play - a new concept in music discovery for your iPad from @mention &amp; spin.com {link} #iTunes #sxsw @mention,No emotion toward brand or product,Not Product Review
3704,transferring a bunch of music to the new iphone for #sxsw,No emotion toward brand or product,Not Product Review
2569,Picplz Adds Photo Collections And Borders {link} #Android #Apple #iPhone #iTunes #SXSW,No emotion toward brand or product,Not Product Review
4731,Apple Opens Pop Up Store at SXSW {link} via @mention #apple #iPad2 #technology #iTunes #SXSW,No emotion toward brand or product,Not Product Review
2538,Who's heading to the pop-up Apple store today? Anyone know what time the sale starts? #SXSW #SXSWK,No emotion toward brand or product,Not Product Review
4054,A ���special��� Apple Store in 6th and Congress opens today in Austin. #sxsw attendees will be able to buy their iPad2 starting at 5pm.,No emotion toward brand or product,Not Product Review
7792,#sxsw starts today and the Apple ipad2 comes out tomorrow. I wonder if more ipad2's will be in austin apple stores for sale?,No emotion toward brand or product,Not Product Review
5206,RT @mention #Apple finagles way to earn brand awareness at #SXSW: {link} #harhar,No emotion toward brand or product,Not Product Review
229,Questions about what's inside the iPad 2? Fire them my way. #sxsw,No emotion toward brand or product,Not Product Review
6463,RT @mention Questions about what's inside the iPad 2? Fire them my way. #sxsw,No emotion toward brand or product,Not Product Review
7774,"How true RT @mention The only way you truly understand a material is by making things with it. Jonathan Ive , Apple VP Design #SXSW",No emotion toward brand or product,Not Product Review
8864,"The only way you truly understand a material is by making things with it.  Jonathan Ive , Apple VP Design   #SXSW",No emotion toward brand or product,Not Product Review
8502,"IPad tweeting, riding thru the 210! #sxsw",No emotion toward brand or product,Not Product Review
2881,Note to self: downside of tweeting on an white iPad 2 expect to be mocked. @mention #sxsw,Negative emotion,Not Product Review
6386,RT @mention Note to self: downside of tweeting on an white iPad 2 expect to be mocked. @mention #sxsw,Negative emotion,Not Product Review
8310,This tweet was sent from the popup Apple store at 6th and Congress #sxsw Austin,No emotion toward brand or product,Not Product Review
2846,Cool to see and compliment @mention and @mention at the Apple store this evening. I'll buy if you guys want to grab drinks at #SXSW.,Positive emotion,Product Review
7193,how did you guys like our presentation at @mention #SXSW wanna try Filmaster on your iPhone now?,No emotion toward brand or product,Not Product Review
8075,LOL!! Classic! RT @mention This Google/Bing Q&amp;A panel is like the world's most expensive SEO consultation. #SXSW,Positive emotion,Product Review
7722,"miami horror, tacos and bloody marys. i'm there. https://sites.google.com/site/frontgatesxsw11/ #sxsw",No emotion toward brand or product,Not Product Review
2017,@mention announces #windowsphone app today #sxsw {link} #wp7,No emotion toward brand or product,Not Product Review
5114,RT @mention @mention announces #windowsphone app today #sxsw {link} #wp7,No emotion toward brand or product,Not Product Review
2679,So #google is going to try #socialnetworking again with #googlecircles to be announced today at #sxsw  We shall see...,No emotion toward brand or product,Not Product Review
3996,Google take 3. Google Circles may be announced today at #SXSW. Their third try at #SocialNetworking. {link},No emotion toward brand or product,Not Product Review
6606,RT @mention RT @mention RT @mention news Google may launch &quot;social circles&quot; social network today {link} #soccomp #sxsw,No emotion toward brand or product,Not Product Review
4982,Team Android Choice Awards finalists announced! {link} #sxsw,No emotion toward brand or product,Not Product Review
1199,"I believe this, too. They're good. RT @mention My life would be so much better with an iPad. #brainwashed #lines #SXSW",Positive emotion,Product Review
2102,Google's art project would be a great virtual field trip for kids! Museums around the world! #edtech #sxsw,Positive emotion,Product Review
5928,RT @mention Google's art project would be a great virtual field trip for kids! Museums around the world! #edtech #sxsw,Positive emotion,Product Review
7207,My life would be so much better with an iPad. #brainwashed #lines #SXSW,Positive emotion,Product Review
2490,All packed! Charging the ipad for a busy day/weekend ahead. Also need to download the #SXSW apps for iphone/ipad!,No emotion toward brand or product,Not Product Review
1535,I'm sure {link} is having a Double Rainbow kind of day right now. #google #sxsw,No emotion toward brand or product,Not Product Review
2829,I convinced myself not to upgrade to iPad 2. But then I just held one at the #SxSW trade show... and failed my willpower check.,Positive emotion,Not Product Review
6050,RT @mention I convinced myself not to upgrade to iPad 2. But then I just held one at the #SxSW trade show... and failed my willpower check.,Positive emotion,Not Product Review
7015,Just got one! RT @mention Waiting in line at an Apple Store? Check in and you just might find a new item :) #SXSW {link},No emotion toward brand or product,Not Product Review
1351,Improving your web design using engineering metrics or intuition? Google overuse metrics that cannot find the best solution. Use both! #sxsw,No emotion toward brand or product,Not Product Review
8925,@mention worked with @mention to create open-source s2 to fill the gap needed by location-based applications that use nosql db model #sxsw,No emotion toward brand or product,Not Product Review
5158,RT @mention @mention worked with @mention to create open-source s2 to fill the gap needed by location-based applications that use nosql db model #sxsw,No emotion toward brand or product,Not Product Review
4251,"Do I really need to get vaccines before #sxsw? iPhone-onset prostate cancer, chortler's cough, mustachepox. Are these real things?",No emotion toward brand or product,Not Product Review
5681,"RT @mention Do I really need to get vaccines before #sxsw? iPhone-onset prostate cancer, chortler's cough, mustachepox. Are these real things?",No emotion toward brand or product,Not Product Review
2056,"RE: temp Apple store--great move, they really need help with brand recognition :) In all seriousness, pretty cool. #SXSW",Positive emotion,Product Review
4385,Just had my 1st 27&quot; LCD cinema display FaceTime to IPad 2 FaceTime with @mention ... #sxsw bar in my living room lol!,No emotion toward brand or product,Not Product Review
6209,RT @mention Just had my 1st 27&quot; LCD cinema display FaceTime to IPad 2 FaceTime with @mention ... #sxsw bar in my living room lol!,No emotion toward brand or product,Not Product Review
6874,RT @mention Watching the iPad-made movie at #busy makes me wish I was at whatever party they were at when they made it instead of... here. #SXSW,Positive emotion,Not Product Review
8440,Watching the iPad-made movie at #busy makes me wish I was at whatever party they were at when they made it instead of... here. #SXSW,Positive emotion,Not Product Review
3068,A Group Messaging Roundup To Help You Stay In Touch At SXSW {link} #Android #FastSociety #iPhone #SMS #SXSW,No emotion toward brand or product,Not Product Review
6375,RT @mention No more stumbling around lost @mention #SXSW! Stay in contact with your group - @mention #iPhone app  {link} #Idealab #IL,No emotion toward brand or product,Not Product Review
8616,No more stumbling around lost at #SXSW! Stay in contact with your group with the @mention #iPhone application {link},No emotion toward brand or product,Not Product Review
6376,RT @mention No more stumbling around lost at #SXSW! Stay in contact w/ your group w/ @mention #iPhone application {link},No emotion toward brand or product,Not Product Review
6377,RT @mention No more stumbling around lost at #SXSW! Stay in contact with your group with the @mention #iPhone application {link},No emotion toward brand or product,Not Product Review
3746,GroupMe Wins Best Group Messaging App at SXSWi {link} #FastSociety #iPhone #iPhone4 #SXSW #TexasEvery,No emotion toward brand or product,Not Product Review
3974,32gb black at&amp;t in stock!! Yes!! #SXSW #iPad2 #Austin #apple,No emotion toward brand or product,Not Product Review
7635,Yes we were RT @mention Apple store downtown Austin open til Midnight. #sxsw,No emotion toward brand or product,Not Product Review
8434,"Why yes, the google party *does* have glowing cups! #sxsw  {link}",No emotion toward brand or product,Not Product Review
3177,Schedule for day and night both printed and synched on iPhone. #music #geek #notmycollegesxsw #sxsw,No emotion toward brand or product,Not Product Review
3089,"YouTube gets 2B views/day, 10% are mobile. 35 hours of video uploaded every minute. @mention Google League of Extraordinary Hackers #sxsw",No emotion toward brand or product,Not Product Review
945,Google VP of consumer products Marissa Mayer says location is everything: {link} #sxsw,No emotion toward brand or product,Not Product Review
5922,RT @mention Google VP of consumer products Marissa Mayer says location is everything: {link} #sxsw,No emotion toward brand or product,Not Product Review
4278,Google's Marissa Mayer Says Location Is Everything   {link} via @mention #SXSW,No emotion toward brand or product,Not Product Review
3371,"Homeless guy in front of Apple pop-up store here at #sxsw is holding a sign that says, &quot;Need money for iPad 2&quot;",No emotion toward brand or product,Not Product Review
6030,"RT @mention Homeless guy in front of Apple pop-up store here at #sxsw is holding a sign that says, &quot;Need money for iPad 2&quot;",No emotion toward brand or product,Not Product Review
2241,Nothing says DOUCHE CAKE like walking around with a IPAD like it's an Iphone #sxsw,Negative emotion,Not Product Review
6389,RT @mention Nothing says DOUCHE CAKE like walking around with a IPAD like it's an Iphone #sxsw,Negative emotion,Not Product Review
1038,".@mention Rec: Give the Bad Apple a job in a mtg, such as taking notes. Make mtg voluntary =&gt; willing participants. #gamestorming #sxsw",No emotion toward brand or product,Not Product Review
5055,"RT @mention .@mention Rec: Give the Bad Apple a job in a mtg, such as taking notes. Make mtg voluntary =&gt; willing participants. #gamestorming #sxsw",No emotion toward brand or product,Not Product Review
